title,content,tokens
Page 158,"Animating lists in Angular using stagger animations 135 The code should look as follows: import { trigger, style, animate, transition, stagger, query } from '@angular/animations'; export const ANIMATIONS = { LIST_ANIMATION: trigger('listAnimation', [ transition('* <=> *', [ query(':enter', [ style({ opacity: 0 }), stagger(100, [ animate('0.5s ease', style({ opacity: 1 })) ]) ], { optional: true }), query(':leave', [ stagger(100, [ animate('0.5s ease', style({ opacity: 0 })) ]) ], {optional: true}) ]), ]) }",147
Page 159,"136 Understanding Angular Animations 13. We now need to fix the import of the animation in shared/components/ bucket/bucket.component.ts as follows: ... @Component({ selector: 'app-bucket', templateUrl: './bucket.component.html', styleUrls: ['./bucket.component.scss'], animations: [ANIMATIONS.LIST_ANIMATION] }) export class BucketComponent implements OnInit { ... } 14. Since we've changed the name of the animation, let's fix in the template of the bucket component as well. Update shared/components/bucket/bucket. component.html as follows: <div class=""buckets"" *ngIf=""$bucket | async as bucket""> <h4>Bucket <i class=""material-icons"">shopping_cart </i></h4> <div class=""add-section"">... </div> <div class=""fruits"" [@listItemAnimation]=""bucket. length""> <ng-container *ngIf=""bucket.length > 0; else bucketEmptyMessage""> <div class=""fruits__item"" *ngFor=""let item of bucket;"" @listItemAnimation ← Remove this> <div class=""fruits__item__title"">{{item.name}} </div> <div class=""fruites__item__delete-icon"" (click)=""deleteFromBucket(item)""> <div class=""material-icons"">delete</div> </div> </div> </ng-container> </div>",337
Page 160,"Using animation callbacks 137 </div> ... Notice that we're binding the [@listAnimation] property to bucket.length . This will make sure that the animation triggers whenever the length of the bucket changes, that is, when an item is added or removed from the bucket. Awesome! Y ou now know how to implement staggering animations for lists in Angular. See in the next section how it works. How it works… Stagger animations only work inside query methods. This is because of the fact that staggering animations usually are applied to the list itself and not to individual items. In order to search or query the items, we first use the query method. Then we use the stagger method to define how many milliseconds of staggering we want before the animation starts for the next list item. We also provide animation as well in the stagger method to define the animation for each element found with the query. Notice that we're using { optional: true } for both the :enter query and the :leave query. This is because if the list binding changes ( bucket.length ), we don't get an error if no new element has entered the DOM or no element has left the DOM. See also • Animations in Angular (https://angular.io/guide/animations ) • Angular animations stagger docs ( https://angular.io/api/animations/ stagger ) Using animation callbacks In this recipe, you'll learn how to be notified and act upon animation state changes in Angular. As a simple example, we'll use the same bucket list app, and we'll reset the item- to-add option whenever the animation completes for adding an item.",337
Page 161,"138 Understanding Angular Animations Getting ready The project that we are going to work with resides in chapter04/start_here/ animation-callbacks inside the cloned repository: 1. Open the project in Visual Studio Code. 2. Open the terminal and run npm install to install the dependencies of the project. 3. Once done, run ng serve -o . This should open the app in a new browser tab. 4. Click the Login as Admin button, and you should see something like the following: Figure 4.6 – animation-callbacks app running on http://localhost:4200 Now that we have the app running locally, let's see the steps of the recipe in the next section.",146
Page 162,"Using animation callbacks 139 How to do it… We have the same bucket app for this recipe that we used in the previous recipes. To see how to use animation callbacks, we'll simply perform an action once the animation of a list item entering the DOM is finished and have one action for when a list item leaves the DOM. Let's get started: 1. We'll first create two methods named onAnimationStarted and onAnimationDone in BucketComponent inside the shared/components/ bucket/bucket.component.ts file. These methods will be triggered for the respective phases of animations in the later steps: ... import { AnimationEvent } from '@angular/animations'; @Component({...}) export class BucketComponent implements OnInit { ... ngOnInit(): void { this.$bucket = this.bucketService.$bucket; this.bucketService.loadItems(); } onAnimationStarted( event: AnimationEvent ) { console.log(event); } onAnimationDone( event: AnimationEvent ) { console.log(event); } ... }",224
Page 163,"140 Understanding Angular Animations 2. Now we'll bind the animation's start and done events to the onAnimateEvent method in the template. Modify the shared/components/bucket/bucket. component.html file as follows: <div class=""buckets"" *ngIf=""$bucket | async as bucket""> <h4>Bucket <i class=""material-icons"">shopping_cart </i></h4> <div class=""add-section""> ... </div> <div class=""fruits"" [@listAnimation]=""bucket.length"" (@listAnimation.start)=""onAnimationStarted($event)"" (@listAnimation.done)=""onAnimationDone($event)""> <ng-container *ngIf=""bucket.length > 0; else bucketEmptyMessage""> <div class=""fruits__item"" *ngFor=""let item of bucket;""> <div class=""fruits__item__title"">{{item.name}} </div> <div class=""fruites__item__delete-icon"" (click)=""deleteFromBucket(item)""> <div class=""material-icons"">delete</div> </div> </div> </ng-container> </div> </div> <ng-template #bucketEmptyMessage> ... </ng-template> 3. Notice that both the .start and.done events are associated with the trigger name, listAnimation . If you refresh the app now, you should see the logs on the console as follows:",324
Page 164,"Using animation callbacks 141 Figure 4.7 – Logs on the console reflecting the .start and .done animation events 4. Since we have the events in place now, we'll replace the shopping_cart icon with the save icon during the animation. This is similar to simulating what would happen if we needed to do an HTTP call to save the data. Let's modify shared/ components/bucket/bucket.component.ts as follows: ... export class BucketComponent implements OnInit { $bucket: Observable<IFruit[]>; selectedFruit: Fruit | null = null; fruits: string[] = Object.values(Fruit); isSaving: boolean; constructor(private bucketService: BucketService) { } ngOnInit(): void { ... } onAnimationStarted( event: AnimationEvent ) { this.isSaving = true; } onAnimationDone( event: AnimationEvent ) { this.isSaving = false; this.selectedFruit = null; }",211
Page 165,"142 Understanding Angular Animations addSelectedFruitToBucket() { ... } deleteFromBucket(fruit: IFruit) { ... } } 5. Finally, we can modify our template to show the appropriate icon based on the value of the isSaving property. The code should look as follows: <div class=""buckets"" *ngIf=""$bucket | async as bucket""> <h4>Bucket <i class=""material-icons"">{{isSaving ? 'save' : 'shopping_cart'}}</i></h4> ... </div> ... And boom! The recipe is finished now. If you refresh the page or add/delete an item, you'll notice that the bucket icon is replaced with the save icon during the entire animation, all thanks to the animation callbacks. How it works… When an animation is registered with Angular using the trigger method, Angular itself creates a local property within the scope with the name of the trigger set as @triggerName . It also creates the .start and .done sub-properties as EventEmitter instances for the animation. Therefore, we can easily use them in the templates to capture the AnimationEvent instance passed by Angular. Each AnimationEvent contains the phaseName property, using which we can also identify whether it is the start event or the done event. We can also tell from AnimationEvent which state the animation started from and which state it ended on. See also • Animations in Angular ( https://angular.io/guide/animations ) • AnimationEvent docs ( https://angular.io/api/animations/ AnimationEvent )",336
Page 166,"Basic route animations in Angular 143 Basic route animations in Angular In this recipe, you'll learn how to implement basic route animations in Angular. Although these are basic animations, they require a bit of a setup to be executed properly. Y ou'll learn how to configure route animations by passing the transition state name to the route as a data property. Y ou'll also learn how to use the RouterOutlet API to get the transition name and apply it to the animation to be executed. Getting ready The project that we are going to work with resides in chapter04/start_here/ route-animations inside the cloned repository: 1. Open the project in Visual Studio Code. 2. Open the terminal and run npm install to install the dependencies of the project. 3. Once done, run ng serve -o . This should open the app in a new browser tab, and you should see something like the following: Figure 4.8 – route-animations app running on http://localhost:4200 Now that we have the app running locally, let's see the steps of the recipe in the next section.",230
Page 167,"144 Understanding Angular Animations How to do it… We have a really simple app with two lazy-loaded routes at the moment. The routes are for the Home and the About pages, and we'll now start configuring the animations for the app: 1. First, we need to import BrowserAnimationsModule into app.module.ts as an import. The code should look as follows: import { BrowserModule } from '@angular/platform- browser'; import { NgModule } from '@angular/core'; import { AppRoutingModule } from './app-routing.module'; import { AppComponent } from './app.component'; import { BrowserAnimationsModule } from '@angular/ platform-browser/animations'; @NgModule({ declarations: [ AppComponent ], imports: [ BrowserModule, AppRoutingModule, BrowserAnimationsModule ], providers: [], bootstrap: [AppComponent] }) export class AppModule { } 2. We'll now create a new folder inside the app folder named constants . We'll also create a file inside the constants folder named animations.ts . Let's put the following code in the animations.ts file to register a simple trigger: import {trigger, style, animate, transition, query, } from '@angular/animations'; export const ROUTE_ANIMATION = trigger('routeAnimation',",287
Page 168,"Basic route animations in Angular 145 [ transition('* <=> *', [ // states and transitions to be added here ]) ]) 3. We'll now register our queries and our states for the animations. Let's add the following items in the transition() method's array as follows: ... export const ROUTE_ANIMATION = trigger('routeAnimation', [ style({ position: 'relative' }), query(':enter, :leave', [ style({ position: 'absolute', width: '100%' }) ], {optional: true}), query(':enter', [ style({ opacity: 0, }) ], {optional: true}), query(':leave', [ animate('300ms ease-out', style({ opacity: 0 })) ], {optional: true}), query(':enter', [ animate('300ms ease-in', style({ opacity: 1 })) ], {optional: true}), ]);",194
Page 169,"146 Understanding Angular Animations Alright! We have the routeAnimation trigger registered now for transition from every route to every other route. Now, let's provide those transition states in the routes. 4. We can provide the states for the transitions using a unique identifier for each route. There are many ways to do it, but the easiest way is to provide it using the data attribute in the route configuration as follows in app-routing.module.ts : import { NgModule } from '@angular/core'; import { Routes, RouterModule } from '@angular/router'; const routes: Routes = [ { path: '', pathMatch: 'full', redirectTo: 'home', }, { path: 'home', data: { transitionState: 'HomePage', }, loadChildren: () => import('./home/home.module'). then(m => m.HomeModule), }, { path: 'about', data: { transitionState: 'AboutPage', }, loadChildren: () => import('./about/about.module'). then(m => m.AboutModule), }, ]; @NgModule({ ...",239
Page 170,"Basic route animations in Angular 147 }) export class AppRoutingModule {} 5. Now, we need to provide this transitionState property from the current route to the @routeAnimation trigger somehow in app.component.html . 6. For this, create a @ViewChild instance for the <router-outlet> element used in app.component.html so we can get the current route's data and the transitionState value provided. The code in the app.component.ts file should look as follows: import { Component, ViewChild } from ""@angular/core""; import { RouterOutlet } from '@angular/router'; @Component({ selector: ""app-root"", templateUrl: ""./app.component.html"", styleUrls: [""./app.component.scss""] }) export class AppComponent { @ViewChild(RouterOutlet) routerOutlet; } 7. We'll also import ROUTE_ANIMATION from the animations.ts file into app. component.ts as follows: import { Component, ViewChild } from ""@angular/core""; import { RouterOutlet } from '@angular/router'; import { ROUTE_ANIMATION } from './constants/animations'; @Component({ selector: ""app-root"", templateUrl: ""./app.component.html"", styleUrls: [""./app.component.scss""], animations: [ ROUTE_ANIMATION ] }) export class AppComponent {",315
Page 171,"148 Understanding Angular Animations ... } 8. We'll now create a function named getRouteAnimationTransition() , which will get the current route's data and the transitionState value and return it back. This function will later be used in app.component.html . Modify your code in app.component.ts as follows: ... @Component({ ... }) export class AppComponent { @ViewChild(RouterOutlet) routerOutlet; getRouteAnimationState() { return this.routerOutlet && this.routerOutlet. activatedRouteData && this.routerOutlet. activatedRouteData.transitionState; } } 9. Finally, let's use the getRouteAnimationState() method with the @routeAnimation trigger in app.component.html so we can see the animation in play: ... <div class=""content"" role=""main""> <div class=""router-container"" [@routeAnimation]=""getRouteAnimationState()""> <router-outlet></router-outlet> </div> </div> Voila! Refresh the app and see the magic in place. Y ou should now see the fade-out and fade-in animations happening as you navigate from the Home page to the About page and vice versa.",268
Page 172,"Basic route animations in Angular 149 How it works… In the animations.ts file, we first defined our animation trigger named routeAnimation . Then we made sure that by default, the HTML element to which the trigger is assigned has position: 'relative' set as a style: transition('* <=> *', [ style({ position: 'relative' }), ... ]) Then we apply the styled position: 'absolute' to the children, as mentioned, using :enter and :leave as follows: query(':enter, :leave', [ style({ position: 'absolute', width: '100%' }) ], {optional: true}), This makes sure that these elements, that is, the routes to be loaded, have the position: 'absolute' style and a full width using width: '100%' so they can appear on top of each other. Y ou can always fiddle around by commenting either of the styles to see what happens (at your own risk, though!). Anyway, once the styles are set, we define what will happen to the route that'll enter the view using the :enter query. We set the style to have opacity: 0 so it seems like the route is fading in: query(':enter', [ style({ opacity: 0, }) ], {optional: true}),",271
Page 173,"150 Understanding Angular Animations Finally, we defined our route transitions as a combination of two sequential animations, the first for query :leave and the second for query :enter . For the route leaving the view, we set the opacity to 0 via animation, and for the route entering the view, we set the opacity to 1 via animation as well: query(':leave', [ animate('300ms ease-out', style({ opacity: 0 })) ], {optional: true}), query(':enter', [ animate('300ms ease-in', style({ opacity: 1 })) ], {optional: true}), See also • Animations in Angular ( https://angular.io/guide/animations ) • Angular route transition animations ( https://angular.io/guide/route- animations ) Complex route animations in Angular using keyframes In the previous recipe, you learned how to create basic route animations, and in this one, we're going to level up our animation game. In this recipe, you'll learn how to implement some complex route animations in Angular using keyframes. Getting ready The project that we are going to work with resides in chapter04/start_here/ complex-route-animations inside the cloned repository. It is in the same state as the final code of the Basic route animations in Angular recipe, except we don't have any animations configured yet: 1. Open the project in Visual Studio Code. 2. Open the terminal and run npm install to install the dependencies of the project. 3. Once done, run ng serve -o . This should open the app in a new browser tab and you should see something like the following:",341
Page 174,"Complex route animations in Angular using keyframes 151 Figure 4.9 – complex-route-animations app running on http://localhost:4200 Now that we have the app running locally, let's see the steps of the recipe in the next section. How to do it… We have a basic app with two routes, the HomePage route and the AboutPage route. Similar to the previous recipe, Basic route animations in Angular, we have this configured using the route data parameters. But we don't just have any animations written yet. Also, we already have BrowserAnimationsModule imported in the app.module.ts file: 1. First, we'll start by writing a simple animation for the route entering the view and for the route leaving the view, as follows, in the animations.ts file: import { ... query, animate, } from '@angular/animations'; const optional = { optional: true }; export const ROUTE_ANIMATION = trigger('routeAnimation', [ transition('* <=> *', [ style({...}), query(':enter, :leave', [...], optional), query(':enter', [ style({ opacity: 0,",246
Page 175,"152 Understanding Angular Animations }) ], optional), query(':leave', [ animate('1s ease-in', style({ opacity: 0 })) ], optional), query(':enter', [ animate('1s ease-out', style({ opacity: 1 })) ], optional), ]) ]) Y ou'll notice that we now have fade-in/fade-out animations for the entering and leaving routes. However, you'll notice that the entering route doesn't appear until the current route has left the view. This is because both our animations are running in sequence. 2. We'll group the animations for the :enter and :leave queries using the group method as follows: import { ... animate, group } from '@angular/animations'; ... export const ROUTE_ANIMATION = trigger('routeAnimation', [ transition('* <=> *', [ style({...}), query(':enter, :leave', [...], optional), query(':enter', [...], optional), group([ query(':leave', [ animate('1s ease-in', style({",228
Page 176,"Complex route animations in Angular using keyframes 153 opacity: 0 })) ], optional), query(':enter', [ animate('1s ease-out', style({ opacity: 1 })) ], optional), ]) ]) ]) Now, you should see both animations triggering together. Although it doesn't look great yet, trust me, it will! 3. Stepping up the game, we'll write a complex animation for our route entering the view. We'd like to create a 3D animation, and therefore, we'll work with some translateZ() transformations as well: import { ... keyframes, } from '@angular/animations'; ... export const ROUTE_ANIMATION = trigger('routeAnimation', [ transition('* <=> *', [ ... group([ query(':leave', [...]), query(':enter', [ animate('1s ease-out', keyframes([ style({ opacity: 0, offset: 0, transform: 'rotateY(180deg) translateX(25%) translateZ(1200px)' }), style({ offset: 0.25, transform: 'rotateY(225deg) translateX(-25%) translateZ(1200px)' }), style({ offset: 0.5, transform:",260
Page 177,"154 Understanding Angular Animations 'rotateY(270deg) translateX(-50%) translateZ(400px)' }), style({ offset: 0.75, transform: 'rotateY(315deg) translateX(-50%) translateZ(25px)' }), style({ opacity: 1, offset: 1, transform: 'rotateY(360deg) translateX(0) translateZ(0)' }), ])) ], optional), ]) ]) If you refresh the app now, you'll be like, ""Pffttt, is that 3D, Ahsan? What?"" Well, it is. However, we only see a sliding animation from left to right. And that's because we need to change our perspective . 4. To view all the elements being translated into 3D, we need to apply the perspective style to the host element for the animation. We'll do it by adding the perspective: '1000px' style in our first style definition in the animations.ts file: ... export const ROUTE_ANIMATION = trigger('routeAnimation', [ transition('* <=> *', [ style({ position: 'relative', perspective: '1000px' }), query(':enter, :leave', [ ... ], optional), query(':enter', [ ... ], optional), group([ ... ])",278
Page 178,"Complex route animations in Angular using keyframes 155 ]) ]) And boom! Now we have the :enter query animation in 3D. 5. Now let's update the animation for the :leave query as follows so we can see it leaving the view sliding backward in the z axis: ... export const ROUTE_ANIMATION = trigger('routeAnimation', [ transition('* <=> *', [ style({ ... }), query(':enter, :leave', [ ... ], optional), query(':enter', [ ... ], optional), group([ query(':leave', [ animate('1s ease-in', keyframes([ style({ opacity: 1, offset: 0, transform: 'rotateY(0) translateX(0) translateZ(0)' }), style({ offset: 0.25, transform: 'rotateY(45deg) translateX(25%) translateZ(100px) translateY(5%)' }), style({ offset: 0.5, transform: 'rotateY(90deg) translateX(75%) translateZ(400px) translateY(10%)' }), style({ offset: 0.75, transform: 'rotateY(135deg) translateX(75%) translateZ(800px) translateY(15%)' }), style({ opacity: 0, offset: 1, transform: 'rotateY(180deg) translateX(0) translateZ(1200px) translateY(25%)' }), ]))",316
Page 179,"156 Understanding Angular Animations ], optional), query(':enter', [ ... ], optional), ]) ]) ]) Woot woot! We now have a 3D animation for our routes that looks absolutely stunning. And this is, of course, not the end. The sky's the limit when it comes to what you can do with keyframes and animations in Angular. How it works… Since we wanted to implement a 3D animation in this recipe, we first made sure that the animation host element had a value for the perspective style, so we can see all the magic in 3D. Then we defined our animations using the keyframes method with an animation state for each offset so we could set different angles and rotations at those states, just so it all looks cool. One important thing that we did was group our :enter and :leave queries using the group method, where we defined the animations. This made sure that we had the route entering and leaving the view simultaneously. See also • Fireship.io's tutorial on Angular route animations ( https://fireship.io/ lessons/angular-router-animations/ ) • Angular complex animation sequences ( https://angular.io/guide/ complex-animation-sequences )",254
Page 180,"5 Angular and RxJS – Awesomeness Combined Angular and RxJS create a killer combination of awesomeness. By combining these, you can handle your data reactively, work with streams, and do really complex stuff in your Angular apps. That's exactly what you're going to learn in this chapter. Here are the recipes we're going to cover in this chapter: • Working with RxJS operators using instance methods • Working with RxJS operators using static methods • Unsubscribing streams to avoid memory leaks • Using an Observable with the async pipe to synchronously bind data to your Angular templates • Using combineLatest to subscribe to multiple streams together",137
Page 181,"158 Angular and RxJS – Awesomeness Combined • Using the flatMap operator to create sequential HyperText Transfer Protocol (HTTP) calls • Using the switchMap operator to switch the last subscription with a new one • Debouncing HTTP requests using RxJS Technical requirements For the recipes in this chapter, make sure you have Git and Node.js installed on your machine. Y ou also need to have the @angular/cli package installed, which you can do with npm install -g @angular/cli from your Terminal. The code for this chapter can be found at the following link: https://github.com/PacktPublishing/ Angular-Cookbook/tree/master/chapter05 . Working with RxJS operators using instance methods In this recipe, you'll learn to use RxJS operators' instance methods to work with streams. We'll start with a basic app in which you can start listening to a stream with the interval method. We'll then introduce some instance methods in the subscription to modify the output. Getting ready The project that we are going to work with resides in chapter05/start_here/rxjs- operators-instance-methods , inside the cloned repository. 1. Open the project in Visual Studio Code (VS Code ). 2. Open the Terminal and run npm install to install the dependencies of the project. 3. Once done, run ng serve -o . This should open the app in a new browser tab. Tap the Start Stream button, and you should see something like this:",312
Page 182,"Working with RxJS operators using instance methods 159 Figure 5.1 – The rxjs-operators-instance-methods app running on http://localhost:4200 Now that we have the app running, we will move on to the steps for the recipe. How to do it… We have an Angular app that has some things already set up. By tapping the Start Stream button, we can start viewing the stream output that is using the interval method from RxJS to create an Observable that outputs a sequence of numbers from 0 onward. We'll use some operators to show the elements from our inputStreamData array instead, which is the goal of this recipe. Let's begin. 1. First, we'll use the map operator to make sure that we are mapping the numbers generated from the interval Observable to the valid indices of our array. For this, we'll update the app.component.ts file. We have to make sure that the mapped numbers are not greater than or equal to the length of inputStreamData . We'll do this by taking a modulus on the number each time, using the map operator as follows: import { Component } from '@angular/core'; import { interval, Subscription } from 'rxjs'; import { map } from 'rxjs/operators';",270
Page 183,"160 Angular and RxJS – Awesomeness Combined @Component({...}) export class AppComponent { ... startStream() { this.subscription = streamSource .pipe( map(output => output % this.inputStreamData. length), ) .subscribe(input => { this.outputStreamData.push(input); }); ... } If you tap the Start Stream button now, you'll see that the output we get is 0, 1, 2, 0, 1, 2 ... and so forth. This makes sure we can always get an item from the inputStreamData array using the number as an index: Figure 5.2 – The stream outputs a 0,1,2.. sequence using the modulus on inputStreamData.length",157
Page 184,"Working with RxJS operators using instance methods 161 2. Now, we'll use another map method to fetch an element from the array for each of the stream's outputs, as follows: startStream() { const streamSource = interval(1500); this.subscription = streamSource .pipe( map(output => output % this.inputStreamData. length), map(index => this.inputStreamData[index]) ) .subscribe(element => { this.outputStreamData.push(element); }); } Notice that we've renamed the parameter of the subscribe method as element instead of input . This is because we get an element in the end. See the following screenshot, demonstrating how the stream outputs the elements from inputStreamData using indices: Figure 5.3 – The stream outputs elements from inputStreamData using indices",171
Page 185,"162 Angular and RxJS – Awesomeness Combined 3. Now, to make things more interesting, we'll create another stream that will emit cartoon titles using the same interval method approach, but with a 1000ms interval. Add the following code to your startStream method: startStream() { const streamSource = interval(1500); const cartoonStreamSource = interval(1000) .pipe( map(output => output % this.cartoonsStreamData. length), map(index => this.cartoonsStreamData[index]), ) this.subscription = streamSource .pipe(...) .subscribe(...); } 4. We'll also create stream data named cartoonStreamData (used in the previous code) in the AppComponent class as a property. The code should look like this: export class AppComponent { subscription: Subscription = null; inputStreamData = ['john wick', 'inception', 'interstellar']; cartoonsStreamData = ['thunder cats', 'Dragon Ball Z', 'Ninja Turtles']; outputStreamData = []; ... } 5. Now that we have the cartoonsStreamData stream data in place, we can also add that to our template so that we can show it on the view as well. The children of the <div class=""input-stream""> element in app.component.html should look like this: <div class=""input-stream""> <div class=""input-stream__item"" *ngFor=""let item of inputStreamData""> {{item}}",313
Page 186,"Working with RxJS operators using instance methods 163 </div> <hr/> <div class=""input-stream__item"" *ngFor=""let item of cartoonsStreamData""> {{item}} </div> </div> 6. Now, we'll use the merge (instance) method to combine the two streams and add an element from the respective stream data array when the streams emit a value. Interesting, right? We'll achieve this using the following code: ... import { map, merge } from 'rxjs/operators'; export class AppComponent { ... startStream() { ... this.subscription = streamSource .pipe( map(output => output % this.inputStreamData. length), map(index => this.inputStreamData[index]), merge(cartoonStreamSource) ) .subscribe(element => { this.outputStreamData.push(element); }); } } Important note The usage of the merge method as an instance method is deprecated in favor of the static merge method.",209
Page 187,"164 Angular and RxJS – Awesomeness Combined Great! Y ou have now implemented the entire recipe, with an interesting merge of two streams. The following screenshot shows the final output: Figure 5.4 – Final output of the recipe Let's move on to the next section to understand how it all works. How it works… The map operator provides you the stream's output value, and you're supposed to return a value that you want to map it to. We made sure that we converted the autogenerated sequential numbers to the array's indices by taking a modulus of the array's length. Then, we used another map operator on top of these indices to fetch the actual element from the array. Finally, we created another stream and used the merge method to combine the outputs of both streams and add this to the outputStreamData array. See also • Catch the Dot Game—RxJS documentation ( https://www.learnrxjs.io/ learn-rxjs/recipes/catch-the-dot-game ) • RxJS map operator documentation ( https://www.learnrxjs.io/learn- rxjs/operators/transformation/map ) • RxJS merge operator documentation ( https://www.learnrxjs.io/learn- rxjs/operators/combination/merge )",279
Page 188,"Working with RxJS operators using static methods 165 Working with RxJS operators using static methods In this recipe, you'll learn to use RxJS operators' static methods to work with streams. We'll start with a basic app in which you can start listening to a stream with the interval method. We'll then introduce some static methods in the subscription to modify the output, to see it on the user interface (UI). After that, we'll split the streams using the partition static operator. And finally, we'll be merging the partitioned streams using the merge static operator to see their output. Getting ready The project for this recipe resides in chapter05/start_here/rxjs-operators- static-methods . 1. Open the project in VS Code. 2. Open the Terminal and run npm install to install the dependencies of the project. 3. Once done, run ng serve -o . This should open the app in a new browser tab, and you should see something like this: Figure 5.5 – The rxjs-operators-static-methods app running on http://localhost:4200",231
Page 189,"166 Angular and RxJS – Awesomeness Combined We also have the following data, which is composed of both movies and cartoons, and this is what we'll get as the output of the streams: combinedStreamData = [{ type: 'movie', title: 'john wick' }, { type: 'cartoon', title: 'Thunder Cats' }, { type: 'movie', title: 'inception' }, { type: 'cartoon', title: 'Dragon Ball Z' }, { type: 'cartoon', title: 'Ninja Turtles' }, { type: 'movie', title: 'interstellar' }]; Now that we have the app running locally, let's see the steps of the recipe in the next section. How to do it… We have an Angular app in hand that has some data in an array called combinedStreamData . By tapping the Start Stream button, we can start viewing the output of the stream in both the Movies output section and the Cartoons output section. We'll use the partition and merge operators to get the desired output and also to show the count of movies and the cartoons shown on output at the moment. Let's begin. 1. First, we'll import the partition and merge operators from RxJS (unlike how we imported it from rxjs/operators in the previous recipe). The import should look like this in the app.component.ts file: import { Component } from '@angular/core'; import { interval, partition, merge, Subscription } from 'rxjs';",321
Page 190,"Working with RxJS operators using static methods 167 2. Now, we'll create two properties, movies and cartoons , in the AppComponent class, one to hold the movies and one to hold the cartoons: import { Component } from '@angular/core'; import { interval, partition, merge, Subscription } from 'rxjs'; import { map, tap } from 'rxjs/operators'; export class AppComponent { … outputStreamData = []; movies= [] cartoons= []; startStream() { } ... } 3. And now, we'll use the appropriate variables in the template for movies and cartoons, as follows: <div class=""cards-container""> <div class=""input-stream""> ... <div class=""output-stream""> <h6>Movies</h6> <div class=""input-stream__item"" *ngFor=""let movie of movies""> {{movie}} </div> </div> <div class=""output-stream""> <h6>Cartoons</h6> <div class=""input-stream__item"" *ngFor=""let cartoon of cartoons""> {{cartoon}} </div> </div> </div>",245
Page 191,"168 Angular and RxJS – Awesomeness Combined 4. We'll now use the partition operator to create two streams out of the streamSource property. Y our startStream method should look like this: startStream() { const streamSource = interval(1500).pipe( map(input => { const index = input % this.combinedStreamData. length; return this.combinedStreamData[index]; }) ); const [moviesStream, cartoonsStream] = partition( streamSource, item => item.type === 'movie' ); this.subscription = streamSource .subscribe(input => { this.outputStreamData.push(input); }); } Now that we have the streams split up, we can merge those to subscribe to a single stream, push to the appropriate output array, and just log the value to the console as the output. 5. Let's merge the streams now, and we'll add them to the appropriate output array using the tap operator, as follows: startStream() { ... this.subscription = merge( moviesStream.pipe( tap(movie => { this.movies.push(movie.title); }) ), cartoonsStream.pipe( tap(cartoon => { this.cartoons.push(cartoon.title); })",266
Page 192,"Working with RxJS operators using static methods 169 ), ) .subscribe(input => { this.outputStreamData.push(input); }); } With this change, you should be able to see the correct value in the appropriate container—that is, whether it is a movie or a cartoon. See the following screenshot, which shows how the partitioned streams emit values to the appropriate Observables: Figure 5.6 – Partitioned streams outputting data to the appropriate views 6. Finally, since we have merged the stream, we can use console.log to see each value being output. We'll remove the outputStreamData property from AppComponent and use a console.log statement instead of pushing to outputStreamData in the subscribe block, as follows: ... @Component({...}) export class AppComponent { ... outputStreamData = []; ← Remove",177
Page 193,"170 Angular and RxJS – Awesomeness Combined movies = []; cartoons = []; ngOnInit() {} startStream() { const streamSource = interval(1500).pipe( map(...) ); const [moviesStream, cartoonsStream] = partition(...); this.subscription = merge( moviesStream.pipe(...), cartoonsStream.pipe(...) ).subscribe((output) => { console.log(output); }); } ... } As soon as you refresh the app, you should see the logs on the console, as follows: Figure 5.7 – Logs on console for each output in the subscribe block from the merged streams",136
Page 194,"Unsubscribing streams to avoid memory leaks 171 Great! Y ou now know how to use static operators from RxJS (specifically, partition and merge ) to work with streams in real-life use cases. See the next section on how this works. How it works… RxJS has a bunch of static operators/methods that we can use for our particular use cases. In this recipe, we used the partition operator to create two different streams based on the predicate function provided as the second argument, which returns an array with two Observables. The first one will contain all values that satisfy the predicate, and the second one will contain all values that don't satisfy the predicate. Why did we split the streams? Glad you asked. Because we needed to show the appropriate outputs in different output containers. And what's GREAT is that we merged those streams later on so that we only had to subscribe to one stream, and we could then unsubscribe from that very stream as well. See also • RxJS map operator documentation ( https://www.learnrxjs.io/learn- rxjs/operators/transformation/map ) • RxJS merge operator documentation ( https://www.learnrxjs.io/learn- rxjs/operators/combination/merge ) • RxJS partition operator documentation ( https://www.learnrxjs.io/ learn-rxjs/operators/transformation/partition ) Unsubscribing streams to avoid memory leaks Streams are fun to work with and they're awesome, and you'll know much more about RxJS when you've finished this chapter, although problems occur when streams are used without caution. One of the biggest mistakes to do with streams is to not unsubscribe them when we no longer need them, and in this recipe, you'll learn how to unsubscribe streams to avoid memory leaks in your Angular apps. Getting ready The project for this recipe resides in chapter05/start_here/rxjs- unsubscribing-streams . 1. Open the project in VS Code. 2. Open the Terminal and run npm install to install the dependencies of the project.",442
